date,symbol,open,high,low,close
2023-11-09,BTC,57.58,57.65,57.55,57.59
2023-11-08,BTC,55.48,58.03,54.31,57.58
2023-11-07,BTC,55.68,57.02,52.02,55.48
2023-11-06,BTC,60.1,60.97,57.32,57.36
2023-11-05,BTC,62.46,62.77,59.36,60.1
2023-11-04,BTC,57.89,62.57,57.88,62.46
2023-11-03,BTC,60.0,60.62,57.33,57.89
2023-11-02,BTC,59.78,61.94,58.84,60.0
2023-11-01,BTC,54.76,60.03,54.57,59.78
2023-10-31,BTC,53.89,54.76,53.32,54.76
2023-10-30,BTC,54.21,57.29,53.07,53.89
2023-10-29,BTC,50.23,55.16,49.94,54.21
2023-10-28,BTC,47.19,50.41,47.16,50.23
2023-10-27,BTC,55.02,55.02,47.19,47.19
2023-10-26,BTC,58.36,60.82,54.75,55.02
2023-10-25,BTC,54.19,60.04,53.32,58.36
2023-10-24,BTC,55.37,63.84,53.06,54.19
2023-10-23,BTC,48.81,64.06,47.91,55.37
2023-10-22,BTC,45.9,48.92,45.14,48.81
2023-10-21,BTC,44.26,46.45,42.74,45.9
2023-10-20,BTC,39.18,46.59,39.08,44.26
2023-10-19,BTC,39.24,40.58,39.04,39.18
2023-10-18,BTC,41.08,41.09,39.21,39.24
2023-10-17,BTC,42.63,42.68,40.81,41.08
2023-10-16,BTC,38.17,45.18,36.27,42.63
2023-10-15,BTC,36.53,38.19,36.44,38.16
2023-10-14,BTC,35.37,36.57,34.82,36.53
2023-10-13,BTC,35.19,36.86,34.97,35.37
2023-10-12,BTC,36.88,37.82,35.16,35.19
2023-10-11,BTC,38.53,38.64,36.09,36.88
2023-10-10,BTC,36.81,39.06,36.67,38.53
2023-10-09,BTC,37.85,39.05,36.76,36.81
2023-10-08,BTC,37.61,38.01,36.29,37.85
2023-10-07,BTC,35.06,37.87,34.79,37.61
2023-10-06,BTC,36.75,36.8,34.47,35.06
2023-10-05,BTC,37.28,38.35,36.65,36.75
2023-10-04,BTC,37.96,38.19,37.04,37.28
2023-10-03,BTC,37.53,38.35,36.94,37.96
2023-10-02,BTC,37.49,40.8,36.2,38.17
2023-10-01,BTC,35.89,37.59,35.48,37.5
2023-09-30,BTC,33.04,35.93,32.33,35.89
2023-09-29,BTC,38.63,38.85,33.04,33.04
2023-09-28,BTC,36.06,40.38,35.39,38.63
2023-09-27,BTC,38.67,39.64,35.54,36.06
2023-09-26,BTC,39.25,40.45,38.51,38.67
2023-09-25,BTC,38.6,40.34,38.0,39.25
2023-09-24,BTC,37.64,39.92,36.61,38.6
2023-09-23,BTC,37.29,37.83,36.25,37.64
2023-09-22,BTC,41.37,41.42,36.8,37.29
2023-09-21,BTC,43.01,43.28,40.79,41.37
