Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
2011-01-04 00:00:00,1270.2,500370.3719000000000001193712,499995.3719000000000001193712,1,3,78705.000,-0.019998000000000016
2011-01-05 00:00:00,1276.56,500485.7438000000000002387424,499990.7438000000000002387424,2,6,162720.0000,0.21605400000000008
2011-01-06 00:00:00,1273.85,500436.1157000000000003581136,499986.1157000000000003581136,3,9,239066.2500,0.0736200000000001
2011-01-07 00:00:00,1271.5,501516.1157000000000003581136,499986.1157000000000003581136,3,9,235387.500,-0.16323300000000004
